记录时间：2018-12-15 10:20:14,445 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：程序启动
记录时间：2018-12-15 10:20:18,172 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:20:18:设备10.5.32.103上线....
记录时间：2018-12-15 10:20:18,182 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:20:18:设备10.5.32.103上线....
记录时间：2018-12-15 10:20:18,212 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:20:18:设备10.5.32.103上线....
记录时间：2018-12-15 10:20:18,372 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:20:18:设备10.5.32.103上线....
记录时间：2018-12-15 10:20:18,742 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:20:18:设备10.5.32.103上线....
记录时间：2018-12-15 10:20:19,302 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:20:19:设备10.5.32.103上线....
记录时间：2018-12-15 10:20:19,692 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:20:19:设备10.5.32.103上线....
记录时间：2018-12-15 10:20:37,918 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:20:37:设备10.5.32.103上线....
记录时间：2018-12-15 10:20:39,409 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:20:39:收到10.5.32.103ClientSendReady的请求
记录时间：2018-12-15 10:20:39,412 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:20:39:向客户端回复10.5.32.103ReceiveClientReady的请求
记录时间：2018-12-15 10:22:40,563 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:22:40:Begin-------------

记录时间：2018-12-15 10:22:40,564 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:22:40:优先处理送料区

记录时间：2018-12-15 10:22:40,565 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:22:40:2018/12/15 10:22:40:开始去送料区抓取产品

记录时间：2018-12-15 10:22:41,569 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:22:41:从送料区抓取设备

记录时间：2018-12-15 10:22:59,578 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:22:59:开始扫描条码

记录时间：2018-12-15 10:23:14,289 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:14:当前扫描条码:H0A99021320-18348K0008

记录时间：2018-12-15 10:23:23,390 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:23:扫描条码结束

记录时间：2018-12-15 10:23:23,440 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:23:2018/12/15 10:23:23:MES返回结果为1A,去FCTMC3300-SYS-T2-1:10.5.32.103放置产品

记录时间：2018-12-15 10:23:23,440 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:23:2018/12/15 10:23:23:直接移动到FCT

记录时间：2018-12-15 10:23:23,441 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:23:2018/12/15 10:23:23:MES请求信息:SENTRY-T2-5,H0A99021320-18348K0008,1,M009287,SENTRY,,OK,,,结果:OK1,REWORK=0 RETEST=1A

记录时间：2018-12-15 10:23:41,444 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:41:2018/12/15 10:23:41:移动到结束

记录时间：2018-12-15 10:23:41,446 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:41:向client10.5.32.103发送放置:ServerPlaceDevice8--H0A99021320-18348K0008
记录时间：2018-12-15 10:23:41,446 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:41:End-------------

记录时间：2018-12-15 10:23:44,446 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:44:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:23:44,447 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:44:Begin-------------

记录时间：2018-12-15 10:23:46,949 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:46:End-------------

记录时间：2018-12-15 10:23:49,949 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:49:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:23:49,949 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:49:Begin-------------

记录时间：2018-12-15 10:23:52,450 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:52:End-------------

记录时间：2018-12-15 10:23:55,450 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:55:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:23:55,450 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:55:Begin-------------

记录时间：2018-12-15 10:23:57,951 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:23:57:End-------------

记录时间：2018-12-15 10:24:00,952 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:00:没有设备可以抓取,回到原点

